Size,Threads,Time_seconds
200,1,0.0044
200,2,0.0018
200,4,0.001
200,8,0.0002
200,12,0.0008
400,1,0.0284
400,2,0.0156
400,4,0.012
400,8,0.0072
400,12,0.006
800,1,0.2376
800,2,0.1466
800,4,0.0754
800,8,0.0556
800,12,0.0556
1200,1,0.7984
1200,2,0.4628
1200,4,0.258
1200,8,0.1834
1200,12,0.1536
1600,1,1.9838
1600,2,1.0628
1600,4,0.589
1600,8,0.4498
1600,12,0.3626
2000,1,4.2434
2000,2,2.2244
2000,4,1.2688
2000,8,0.8626
2000,12,0.7202
